Period_ID,IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
68,052306-26042017,0,0,0,0,0,1,0,0
68,018878-14022017,1,0,0,0,0,0,0,0
69,023090-24022017,0,0,0,0,1,0,0,0
69,118125-01092017,0,0,0,0,0,0,1,0
69,122709-11092017,0,0,1,0,0,0,0,0
69,023569-25022017,0,0,0,0,0,0,0,1
70,090338-06072017,0,0,0,1,0,0,0,0
70,093817-12072017,0,0,0,0,0,0,1,0
71,028725-09032017,1,0,0,0,0,0,0,0
71,084755-26062017,0,1,0,0,0,0,0,0
71,117970-31082017,0,0,0,0,0,1,0,0
71,081806-22062017,0,0,0,0,0,1,0,0
72,032218-17032017,0,0,0,0,1,0,0,0
72,005025-12012017,0,0,0,0,0,0,1,0
72,101788-28072017,0,0,0,0,1,0,0,0
73,083122-24062017,0,0,0,0,0,0,1,0
73,137055-12102017,0,0,0,1,0,0,0,0
73,045332-12042017,0,0,0,0,0,0,0,1
73,066271-26052017,0,0,0,0,0,0,0,1
74,035409-24032017,0,0,1,0,0,0,0,0
75,120331-05092017,0,0,0,0,0,1,0,0
75,017263-10022017,0,0,0,0,1,0,0,0
75,043695-10042017,0,0,0,0,1,0,0,0
76,018611-13022017,0,0,0,0,0,0,1,0
76,120466-06092017,0,1,0,0,0,0,0,0
77,028507-08032017,0,0,1,0,0,0,0,0
77,087755-02072017,0,0,0,0,0,1,0,0
78,131655-30092017,0,0,0,0,1,0,0,0
78,027797-07032017,0,0,0,0,0,0,1,0
78,111574-18082017,1,0,0,0,0,0,0,0
79,060773-15052017,0,0,0,0,1,0,0,0
79,089847-06072017,0,0,0,0,0,0,1,0
80,129047-24092017,0,0,0,0,0,0,0,1
81,140561-19102017,1,0,0,0,0,0,0,0
81,031741-16032017,0,0,0,0,0,0,0,1
82,138959-15102017,0,0,0,0,0,1,0,0
82,059531-12052017,0,1,0,0,0,0,0,0
82,120562-06092017,0,0,1,0,0,0,0,0
83,031897-16032017,0,0,0,0,0,1,0,0
83,017263-10022017,0,0,0,0,1,0,0,0
84,095544-15072017,0,0,0,1,0,0,0,0
84,135940-09102017,0,0,0,0,0,0,0,1
84,100672-25072017,1,0,0,0,0,0,0,0
84,060713-15052017,0,0,0,0,1,0,0,0
85,076799-14062017,0,0,0,0,0,0,0,1
86,058409-10052017,0,0,0,0,1,0,0,0
86,051981-26042017,0,0,0,0,0,0,1,0
87,087662-02072017,0,0,1,0,0,0,0,0
87,004696-11012017,0,0,0,1,0,0,0,0
87,076829-14062017,0,0,0,0,0,0,1,0
87,058588-10052017,0,1,0,0,0,0,0,0
87,045270-12042017,0,0,0,0,1,0,0,0
87,129291-25092017,1,0,0,0,0,0,0,0
87,111132-17082017,0,0,0,0,0,0,0,1
88,034294-22032017,0,0,0,0,0,0,0,0
88,045802-13042017,0,0,0,0,0,0,0,0
88,142915-23102017,0,0,0,0,0,0,0,0
88,041525-06042017,0,0,0,0,0,0,0,0
88,108390-11082017,0,0,0,0,0,0,0,0
89,057730-08052017,0,0,0,0,1,0,0,0
89,058620-10052017,0,0,0,0,0,0,0,1
89,032389-17032017,0,0,0,0,0,1,0,0
89,137674-13102017,0,0,0,0,0,0,1,0
89,082514-23062017,0,0,0,0,0,1,0,0
90,132935-03102017,0,0,0,0,1,0,0,0
91,066565-26052017,0,0,1,0,0,0,0,0
92,055482-03052017,0,0,0,1,0,0,0,0
92,055539-03052017,0,0,0,0,1,0,0,0
92,107664-09082017,0,0,0,0,0,0,1,0
93,100058-24072017,0,0,0,0,1,0,0,0
93,129090-24092017,0,1,0,0,0,0,0,0
94,005324-13012017,0,0,0,0,0,1,0,0
94,027744-06032017,0,0,0,0,0,1,0,0
94,088511-03072017,0,0,0,0,0,0,1,0
95,092304-09072017,0,0,0,0,0,0,1,0
95,120511-06092017,0,0,0,0,1,0,0,0
96,069131-31052017,0,1,0,0,0,0,0,0
97,119907-04092017,0,0,0,0,0,1,0,0
97,026027-02032017,0,0,0,0,1,0,0,0
97,144690-27102017,0,0,0,1,0,0,0,0
97,143101-24102017,0,0,0,0,0,0,1,0
98,038154-30032017,0,0,0,0,0,0,1,0
99,079747-19062017,0,1,0,0,0,0,0,0
99,023574-25022017,0,0,0,0,1,0,0,0
99,050352-22042017,0,0,1,0,0,0,0,0
100,092929-10072017,0,0,0,0,0,1,0,0
100,111856-18082017,0,0,0,0,0,0,1,0
100,006885-17012017,0,0,0,0,1,0,0,0
101,131597-30092017,0,0,0,0,0,0,1,0
101,130853-28092017,0,0,0,1,0,0,0,0
101,117720-31082017,0,0,0,0,0,0,0,1
102,021289-20022017,0,0,1,0,0,0,0,0
102,128864-24092017,0,0,0,0,0,1,0,0
103,098849-21072017,0,0,0,0,0,0,0,1
103,000244-01012017,1,0,0,0,0,0,0,0
103,053110-28042017,0,0,0,0,0,1,0,0
104,079665-19062017,0,1,0,0,0,0,0,0
104,001638-04012017,0,0,0,0,1,0,0,0
104,059042-11052017,0,0,0,0,0,0,1,0
104,088849-04072017,0,0,0,0,1,0,0,0
104,033885-21032017,0,0,0,1,0,0,0,0
104,019565-16022017,0,0,0,0,0,0,1,0
105,123024-11092017,0,0,1,0,0,0,0,0
105,121286-08092017,0,0,0,0,0,0,0,1
105,048217-18042017,0,0,0,0,0,1,0,0
106,001272-03012017,0,0,0,0,0,0,0,0
106,032093-17032017,0,0,0,0,0,0,0,0
106,064876-23052017,0,0,0,0,0,0,0,0
106,076907-14062017,0,0,0,0,0,0,0,0
106,021071-19022017,0,0,0,0,0,0,0,0
107,080846-20062017,0,0,0,1,0,0,0,0
107,128532-23092017,0,0,0,0,0,1,0,0
107,139816-17102017,0,0,0,0,1,0,0,0
107,034288-22032017,0,0,0,0,0,0,1,0
107,030172-12032017,0,0,0,0,1,0,0,0
108,121781-09092017,0,0,0,0,0,0,1,0
108,131925-30092017,0,0,1,0,0,0,0,0
108,046673-15042017,0,1,0,0,0,0,0,0
109,093603-11072017,1,0,0,0,0,0,0,0
109,080993-20062017,0,0,0,0,0,1,0,0
110,030996-14032017,0,0,0,0,0,0,1,0
111,136626-11102017,0,0,0,0,0,0,1,0
111,109804-14082017,0,1,0,0,0,0,0,0
111,036339-26032017,0,0,0,0,1,0,0,0
111,063285-20052017,0,0,0,0,1,0,0,0
111,141664-21102017,0,0,0,1,0,0,0,0
112,110610-15082017,1,0,0,0,0,0,0,0
112,123999-14092017,0,0,1,0,0,0,0,0
113,131595-30092017,0,0,0,0,0,0,1,0
114,132629-02102017,0,0,0,0,1,0,0,0
114,126656-19092017,0,1,0,0,0,0,0,0
114,002199-05012017,0,0,0,0,0,0,1,0
114,123090-12092017,0,0,0,0,0,1,0,0
114,062664-18052017,0,0,0,1,0,0,0,0
114,020405-18022017,0,0,0,0,1,0,0,0
115,010296-24012017,0,0,0,0,0,1,0,0
115,008296-20012017,0,0,0,0,0,0,0,1
115,114449-24082017,0,0,1,0,0,0,0,0
115,101817-28072017,1,0,0,0,0,0,0,0
116,131090-29092017,0,0,0,0,0,0,1,0
117,014645-04022017,0,0,0,0,0,0,1,0
117,039256-01042017,0,0,0,0,0,1,0,0
117,056596-06052017,0,0,0,1,0,0,0,0
118,044289-11042017,1,0,0,0,0,0,0,0
118,114208-24082017,0,0,0,0,0,0,0,1
118,007735-19012017,0,0,0,0,1,0,0,0
118,140419-18102017,0,0,0,0,1,0,0,0
118,116002-27082017,0,0,0,0,0,0,0,1
118,100478-25072017,0,1,0,0,0,0,0,0
119,136617-10102017,0,0,0,0,0,0,1,0
119,060197-14052017,0,0,0,0,0,1,0,0
119,006754-16012017,0,0,1,0,0,0,0,0
120,126177-18092017,0,0,0,0,0,0,1,0
120,005434-13012017,0,0,0,1,0,0,0,0
121,009627-23012017,0,0,0,0,0,1,0,0
121,129154-24092017,0,0,0,0,1,0,0,0
121,042275-08042017,0,0,0,0,0,0,0,1
122,134093-05102017,0,0,0,0,0,0,1,0
122,025579-01032017,0,1,0,0,0,0,0,0
123,095279-14072017,1,0,0,0,0,0,0,0
123,080078-19062017,0,0,0,0,1,0,0,0
124,088033-02072017,0,0,0,0,0,1,0,0
124,043064-09042017,0,0,0,0,0,0,1,0
125,039020-01042017,0,0,0,0,0,1,0,0
125,022053-22022017,0,0,1,0,0,0,0,0
126,093539-11072017,0,1,0,0,0,0,0,0
126,025052-28022017,0,0,0,1,0,0,0,0
126,047687-18042017,0,0,0,0,0,0,0,1
126,047417-17042017,0,0,0,0,0,0,1,0
126,143617-25102017,0,0,0,0,1,0,0,0
126,062465-18052017,1,0,0,0,0,0,0,0
126,047747-18042017,0,0,0,0,0,0,0,1
127,117296-30082017,0,0,0,0,0,0,1,0
128,000162-01012017,0,0,0,0,0,1,0,0
129,055487-03052017,1,0,0,0,0,0,0,0
130,101824-28072017,0,0,0,0,1,0,0,0
130,115487-26082017,0,0,0,0,0,0,0,1
130,015068-05022017,0,0,1,0,0,0,0,0
131,137363-12102017,0,0,0,0,1,0,0,0
131,117743-31082017,0,0,0,1,0,0,0,0
131,064273-22052017,0,1,0,0,0,0,0,0
132,008885-21012017,1,0,0,0,0,0,0,0
132,106869-07082017,0,0,0,0,0,1,0,0
132,057577-08052017,0,0,0,0,0,0,1,0
132,080040-19062017,0,0,0,0,0,0,0,1
132,096525-17072017,0,0,0,0,0,0,1,0
133,100476-25072017,0,0,0,0,0,1,0,0
133,060953-15052017,0,0,1,0,0,0,0,0
133,122881-11092017,0,0,0,0,1,0,0,0
134,004225-10012017,0,0,0,0,1,0,0,0
134,144518-27102017,0,0,0,0,0,0,0,1
134,011051-26012017,0,0,0,1,0,0,0,0
134,047785-18042017,0,1,0,0,0,0,0,0
135,028292-08032017,1,0,0,0,0,0,0,0
135,126468-19092017,0,0,0,0,0,0,1,0
135,139196-16102017,0,0,0,0,0,0,0,1
136,017330-10022017,0,0,0,0,0,0,1,0
136,065093-23052017,0,0,0,0,0,1,0,0
136,067650-28052017,0,0,0,0,1,0,0,0
137,132420-01102017,0,0,0,1,0,0,0,0
137,016631-09022017,0,0,0,0,0,0,0,1
137,084387-26062017,0,1,0,0,0,0,0,0
137,132611-02102017,0,0,0,0,1,0,0,0
138,045270-12042017,0,0,1,0,0,0,0,0
138,047536-17042017,0,0,0,0,0,0,0,1
138,128532-23092017,0,0,0,0,0,1,0,0
138,048090-18042017,0,0,0,0,0,0,1,0
139,018432-13022017,0,0,0,0,0,0,0,0
139,051671-25042017,0,0,0,0,0,0,0,0
139,136892-11102017,0,0,0,0,0,0,0,0
139,129355-25092017,0,0,0,0,0,0,0,0
139,121034-07092017,0,0,0,0,0,0,0,0
139,003585-08012017,0,0,0,0,0,0,0,0
139,093378-11072017,0,0,0,0,0,0,0,0
140,115188-26082017,0,1,0,0,0,0,0,0
140,105681-05082017,0,0,0,0,0,0,1,0
141,026570-04032017,0,0,0,0,0,0,1,0
141,085731-28062017,0,0,1,0,0,0,0,0
142,059711-12052017,0,0,0,1,0,0,0,0
142,047817-18042017,0,0,0,0,0,0,0,1
143,060847-15052017,0,0,0,0,0,0,1,0
144,052904-28042017,0,1,0,0,0,0,0,0
145,128588-23092017,0,0,0,0,0,0,0,1
145,039855-03042017,0,0,0,0,1,0,0,0
145,056912-07052017,0,0,1,0,0,0,0,0
145,131427-29092017,1,0,0,0,0,0,0,0
146,121514-08092017,0,0,0,0,0,0,1,0
146,107034-08082017,0,0,0,0,1,0,0,0
147,063639-20052017,0,0,0,0,0,0,1,0
147,065847-25052017,0,0,0,0,0,0,0,1
148,069726-01062017,0,0,0,0,0,0,0,1
149,018611-13022017,0,0,0,0,0,0,1,0
149,041525-06042017,0,1,0,0,0,0,0,0
150,092738-10072017,1,0,0,0,0,0,0,0
150,101466-27072017,0,0,0,0,0,1,0,0
150,022528-23022017,0,0,0,0,0,0,1,0
150,118360-01092017,0,0,0,0,0,0,0,1
151,028232-08032017,0,0,1,0,0,0,0,0
151,079151-18062017,0,0,0,1,0,0,0,0
151,143613-25102017,0,0,0,0,0,1,0,0
151,060222-14052017,0,0,0,0,0,0,0,1
152,011606-27012017,0,0,0,0,0,0,1,0
152,024567-27022017,0,0,0,0,1,0,0,0
152,027047-05032017,0,1,0,0,0,0,0,0
153,004707-11012017,0,0,0,0,1,0,0,0
153,040930-05042017,0,0,0,0,0,0,1,0
154,052597-27042017,0,0,0,0,0,1,0,0
154,040230-03042017,0,0,0,0,0,0,0,1
155,017466-11022017,1,0,0,0,0,0,0,0
156,018918-14022017,0,0,0,1,0,0,0,0
156,128864-24092017,0,0,0,0,0,0,1,0
157,061510-16052017,0,1,0,0,0,0,0,0
157,014394-03022017,0,0,0,0,0,0,1,0
157,021567-21022017,0,0,0,0,0,0,0,1
158,131272-29092017,0,0,0,0,1,0,0,0
158,133987-05102017,0,0,0,0,0,1,0,0
159,124496-15092017,0,0,0,0,0,0,1,0
159,080541-20062017,1,0,0,0,0,0,0,0
160,038687-31032017,0,0,0,1,0,0,0,0
160,119084-03092017,0,0,0,0,1,0,0,0
161,009627-23012017,0,0,0,0,0,1,0,0
161,011436-27012017,0,0,0,0,1,0,0,0
161,040559-04042017,0,1,0,0,0,0,0,0
162,072303-06062017,0,0,0,0,0,0,1,0
162,126613-19092017,0,0,0,0,0,0,1,0
163,104267-02082017,0,0,0,0,1,0,0,0
163,060058-13052017,0,0,1,0,0,0,0,0
163,079070-18062017,0,0,0,0,0,1,0,0
164,020678-18022017,0,0,0,0,0,0,0,1
164,074006-10062017,0,1,0,0,0,0,0,0
165,016536-08022017,0,0,0,0,0,0,1,0
165,021656-21022017,0,0,0,0,0,0,0,1
166,132187-01102017,0,0,0,0,0,1,0,0
166,038677-31032017,0,0,1,0,0,0,0,0
166,110727-16082017,0,0,0,0,0,0,1,0
167,049694-21042017,0,0,0,0,0,0,0,1
167,093960-12072017,0,1,0,0,0,0,0,0
167,030456-13032017,0,0,0,0,0,1,0,0
167,106464-06082017,0,0,0,0,1,0,0,0
168,114650-25082017,0,0,0,0,0,0,1,0
168,140837-19102017,0,0,0,1,0,0,0,0
169,141070-20102017,0,0,0,0,0,0,1,0
169,067563-27052017,0,0,0,0,0,0,0,1
170,133424-04102017,0,1,0,0,0,0,0,0
170,099498-22072017,0,0,0,0,1,0,0,0
171,098111-20072017,0,0,0,0,0,1,0,0
171,096483-17072017,0,0,0,0,0,0,1,0
171,065374-24052017,0,0,0,0,1,0,0,0
172,075013-12062017,0,0,0,0,0,1,0,0
173,105756-05082017,0,1,0,0,0,0,0,0
173,058233-09052017,0,0,0,0,0,0,1,0
173,030907-14032017,0,0,0,1,0,0,0,0
173,059554-12052017,0,0,0,0,1,0,0,0
173,089240-05072017,0,0,0,0,0,0,0,1
174,067955-28052017,1,0,0,0,0,0,0,0
174,083524-24062017,0,0,1,0,0,0,0,0
174,058102-09052017,0,0,0,0,0,0,1,0
174,001837-05012017,0,0,0,0,1,0,0,0
175,028236-08032017,0,0,0,0,0,1,0,0
175,142536-23102017,0,0,0,0,0,1,0,0
175,103678-31072017,0,0,0,0,0,0,0,1
176,013307-31012017,0,0,0,0,0,0,1,0
176,099995-24072017,0,1,0,0,0,0,0,0
176,000959-03012017,0,0,0,0,1,0,0,0
177,037911-30032017,0,0,0,1,0,0,0,0
177,073110-08062017,0,0,1,0,0,0,0,0
178,041517-06042017,0,0,0,0,0,1,0,0
178,079741-19062017,1,0,0,0,0,0,0,0
178,094716-13072017,0,0,0,0,1,0,0,0
179,072710-07062017,0,1,0,0,0,0,0,0
179,110759-16082017,0,0,0,0,0,1,0,0
179,081774-22062017,0,0,0,0,0,0,1,0
179,127962-22092017,0,0,0,0,0,0,1,0
179,017188-10022017,0,0,0,0,1,0,0,0
180,120382-06092017,0,0,0,0,0,0,0,1
180,106635-07082017,0,0,1,0,0,0,0,0
180,142041-22102017,0,0,0,1,0,0,0,0
181,134843-07102017,0,0,0,0,1,0,0,0
181,016882-09022017,1,0,0,0,0,0,0,0
181,028727-09032017,0,0,0,0,0,0,0,1
181,097036-18072017,0,0,0,0,0,1,0,0
182,091592-08072017,0,0,0,0,0,0,1,0
182,144043-26102017,0,0,0,0,1,0,0,0
183,056912-07052017,0,0,1,0,0,0,0,0
183,142038-21102017,0,0,0,0,0,0,0,1
183,069095-31052017,0,0,0,1,0,0,0,0
183,045067-12042017,0,1,0,0,0,0,0,0
184,123692-13092017,0,0,0,0,1,0,0,0
184,088038-02072017,0,0,0,0,0,0,0,1
185,090002-06072017,0,0,0,0,0,1,0,0
185,094959-14072017,0,0,0,0,0,0,1,0
185,142807-23102017,0,0,0,0,0,0,1,0
186,074895-11062017,0,0,0,1,0,0,0,0
186,053432-29042017,0,0,0,0,1,0,0,0
186,025572-01032017,0,0,1,0,0,0,0,0
187,136922-11102017,1,0,0,0,0,0,0,0
187,049064-20042017,0,1,0,0,0,0,0,0
188,047470-17042017,0,0,0,0,1,0,0,0
188,129816-26092017,0,0,0,0,0,0,1,0
188,059048-11052017,0,0,0,0,0,0,0,1
189,143649-25102017,0,0,0,0,1,0,0,0
189,053761-30042017,0,0,0,0,0,0,1,0
189,090819-07072017,0,0,1,0,0,0,0,0
189,090475-07072017,0,0,0,0,0,0,0,1
189,015481-06022017,0,0,0,0,0,1,0,0
190,100226-24072017,0,0,0,0,0,0,0,0
190,000191-01012017,0,0,0,0,0,0,0,0
190,081977-22062017,0,0,0,0,0,0,0,0
190,079159-18062017,0,0,0,0,0,0,0,0
190,107028-08082017,0,0,0,0,0,0,0,0
191,049253-20042017,0,0,0,0,1,0,0,0
191,031237-15032017,0,0,0,0,0,0,1,0
192,029365-10032017,0,0,0,0,0,0,0,1
192,058574-10052017,0,0,0,0,1,0,0,0
193,006856-17012017,0,0,1,0,0,0,0,0
193,109698-13082017,0,0,0,0,0,1,0,0
