IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
034721-23032017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.09
034727-23032017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
034729-23032017,0.05,0.01,0.06,0.05,0.05,0.06,0.00,0.10
034740-23032017,0.01,0.06,0.08,0.05,0.10,0.11,0.05,0.15
034746-23032017,0.04,0.02,0.06,0.05,0.06,0.07,0.01,0.11
034754-23032017,0.05,0.02,0.07,0.06,0.05,0.05,0.01,0.10
034765-23032017,0.09,0.06,0.11,0.10,0.07,0.01,0.05,0.05
034782-23032017,0.02,0.04,0.06,0.03,0.08,0.10,0.05,0.13
034785-23032017,0.09,0.03,0.05,0.05,0.01,0.06,0.05,0.05
034798-23032017,0.02,0.03,0.05,0.02,0.07,0.08,0.04,0.12
034827-23032017,0.03,0.02,0.06,0.05,0.06,0.07,0.01,0.11
034841-23032017,0.05,0.02,0.03,0.03,0.04,0.08,0.03,0.09
034863-23032017,0.07,0.03,0.08,0.07,0.04,0.03,0.03,0.07
034864-23032017,0.21,0.23,0.18,0.19,0.22,0.29,0.25,0.27
034869-23032017,0.08,0.05,0.10,0.09,0.07,0.05,0.04,0.09
034875-23032017,0.05,0.01,0.06,0.05,0.05,0.06,0.00,0.10
034885-23032017,0.10,0.06,0.02,0.06,0.05,0.12,0.08,0.10
034886-23032017,0.07,0.02,0.06,0.06,0.03,0.04,0.03,0.08
034893-23032017,0.03,0.04,0.04,0.01,0.06,0.10,0.06,0.11
034895-23032017,0.15,0.18,0.13,0.14,0.16,0.24,0.19,0.22
034900-23032017,0.07,0.04,0.09,0.08,0.05,0.03,0.03,0.07
034910-23032017,0.20,0.14,0.13,0.16,0.11,0.10,0.16,0.07
