IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
000009-01012017,0.01,0.05,0.06,0.03,0.08,0.10,0.05,0.13
000058-01012017,0.08,0.05,0.10,0.09,0.07,0.04,0.04,0.08
000077-01012017,0.05,0.01,0.04,0.03,0.04,0.07,0.02,0.09
000115-01012017,0.04,0.02,0.07,0.06,0.05,0.06,0.01,0.10
000132-01012017,0.23,0.17,0.15,0.18,0.13,0.14,0.18,0.12
000139-01012017,0.05,0.01,0.06,0.05,0.05,0.06,0.00,0.10
000157-01012017,0.09,0.04,0.05,0.05,0.02,0.05,0.05,0.05
000159-01012017,0.06,0.00,0.05,0.04,0.04,0.06,0.02,0.09
000160-01012017,0.09,0.04,0.03,0.05,0.00,0.07,0.05,0.05
000161-01012017,0.07,0.03,0.08,0.07,0.05,0.04,0.03,0.08
000162-01012017,0.08,0.03,0.07,0.07,0.04,0.03,0.03,0.07
000163-01012017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
000191-01012017,0.05,0.02,0.03,0.02,0.05,0.08,0.04,0.10
000195-01012017,0.16,0.19,0.14,0.15,0.17,0.25,0.20,0.23
000197-01012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
000203-01012017,0.01,0.05,0.07,0.04,0.09,0.10,0.05,0.14
000237-01012017,0.04,0.02,0.07,0.06,0.05,0.06,0.00,0.10
000243-01012017,0.24,0.18,0.16,0.20,0.14,0.14,0.20,0.12
000244-01012017,0.01,0.05,0.07,0.04,0.09,0.10,0.05,0.14
000316-01012017,0.12,0.06,0.07,0.07,0.04,0.04,0.07,0.03
000321-01012017,0.02,0.06,0.08,0.05,0.10,0.11,0.06,0.15
000327-01012017,0.06,0.03,0.08,0.07,0.06,0.07,0.02,0.11
000331-01012017,0.16,0.18,0.14,0.14,0.17,0.24,0.20,0.22
000342-01012017,0.05,0.01,0.04,0.03,0.04,0.07,0.03,0.09
000347-01012017,0.07,0.03,0.08,0.07,0.05,0.04,0.03,0.08
000372-01012017,0.07,0.03,0.08,0.07,0.05,0.04,0.03,0.08
000400-01012017,0.05,0.03,0.08,0.07,0.04,0.05,0.01,0.09
000439-01012017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
000441-01012017,0.10,0.12,0.07,0.08,0.11,0.18,0.14,0.16
000443-01012017,0.13,0.07,0.05,0.09,0.04,0.11,0.09,0.09
000511-02012017,0.07,0.02,0.07,0.06,0.04,0.04,0.03,0.07
000547-02012017,0.28,0.22,0.20,0.24,0.19,0.18,0.24,0.14
000553-02012017,0.13,0.08,0.12,0.12,0.09,0.02,0.08,0.04
000586-02012017,0.05,0.05,0.03,0.01,0.04,0.11,0.06,0.09
000590-02012017,0.08,0.03,0.03,0.04,0.01,0.08,0.04,0.06
000593-02012017,0.09,0.12,0.07,0.08,0.10,0.18,0.13,0.15
000726-02012017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
000748-02012017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
000758-02012017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
000815-02012017,0.12,0.07,0.12,0.12,0.09,0.02,0.08,0.04
000833-02012017,0.03,0.03,0.05,0.01,0.06,0.09,0.04,0.11
000845-02012017,0.31,0.25,0.23,0.26,0.21,0.20,0.26,0.16
000874-02012017,0.19,0.13,0.11,0.15,0.10,0.10,0.15,0.08
000875-02012017,0.19,0.13,0.12,0.15,0.10,0.10,0.15,0.08
000895-02012017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
000896-02012017,0.03,0.03,0.05,0.02,0.07,0.08,0.03,0.12
000908-02012017,0.14,0.13,0.09,0.09,0.12,0.19,0.15,0.17
000915-02012017,0.14,0.17,0.12,0.13,0.15,0.23,0.18,0.21
000936-02012017,0.16,0.18,0.13,0.14,0.17,0.24,0.20,0.22
000939-02012017,0.12,0.14,0.10,0.10,0.13,0.20,0.16,0.18
000942-02012017,0.16,0.10,0.08,0.12,0.06,0.05,0.12,0.01
000959-03012017,0.17,0.16,0.11,0.13,0.15,0.22,0.18,0.20
000964-03012017,0.16,0.10,0.08,0.11,0.06,0.13,0.11,0.10
000975-03012017,0.10,0.07,0.02,0.06,0.05,0.13,0.08,0.10
000996-03012017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
001001-03012017,0.20,0.22,0.18,0.18,0.21,0.28,0.24,0.26
001018-03012017,0.04,0.02,0.06,0.06,0.06,0.07,0.01,0.11
001028-03012017,0.03,0.03,0.05,0.04,0.06,0.07,0.01,0.11
001035-03012017,0.10,0.04,0.04,0.06,0.00,0.07,0.06,0.05
001045-03012017,0.05,0.02,0.07,0.06,0.05,0.05,0.01,0.10
001046-03012017,0.03,0.03,0.05,0.02,0.07,0.08,0.03,0.12
001051-03012017,0.06,0.04,0.09,0.08,0.06,0.05,0.03,0.09
001058-03012017,0.03,0.03,0.04,0.02,0.06,0.08,0.04,0.11
001083-03012017,0.07,0.04,0.08,0.08,0.05,0.03,0.03,0.07
001087-03012017,0.02,0.04,0.06,0.03,0.08,0.08,0.03,0.13
001091-03012017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
001096-03012017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
001102-03012017,0.07,0.05,0.10,0.09,0.06,0.05,0.03,0.09
001111-03012017,0.02,0.04,0.06,0.03,0.07,0.08,0.02,0.12
001113-03012017,0.13,0.08,0.07,0.09,0.04,0.04,0.09,0.01
001116-03012017,0.19,0.14,0.12,0.15,0.10,0.10,0.15,0.08
001134-03012017,0.01,0.05,0.07,0.03,0.08,0.09,0.03,0.13
001150-03012017,0.02,0.04,0.05,0.02,0.07,0.08,0.04,0.12
001169-03012017,0.10,0.10,0.06,0.06,0.09,0.16,0.12,0.14
001174-03012017,0.21,0.15,0.13,0.16,0.11,0.12,0.16,0.10
001175-03012017,0.08,0.04,0.01,0.04,0.03,0.10,0.05,0.08
001198-03012017,0.09,0.06,0.11,0.10,0.07,0.01,0.05,0.05
001200-03012017,0.10,0.12,0.07,0.08,0.11,0.18,0.13,0.16
001209-03012017,0.09,0.11,0.06,0.07,0.10,0.17,0.13,0.15
001218-03012017,0.12,0.14,0.09,0.10,0.12,0.20,0.15,0.18
001223-03012017,0.14,0.08,0.10,0.09,0.07,0.03,0.09,0.01
001235-03012017,0.06,0.02,0.07,0.06,0.04,0.04,0.02,0.09
001238-03012017,0.09,0.03,0.03,0.05,0.01,0.08,0.05,0.06
001260-03012017,0.21,0.24,0.19,0.20,0.22,0.30,0.25,0.28
001263-03012017,0.05,0.02,0.06,0.06,0.05,0.06,0.00,0.10
001272-03012017,0.06,0.00,0.04,0.04,0.04,0.06,0.02,0.09
001284-03012017,0.06,0.02,0.07,0.06,0.03,0.04,0.02,0.08
001287-03012017,0.11,0.05,0.03,0.07,0.01,0.09,0.07,0.07
001301-03012017,0.08,0.10,0.05,0.06,0.09,0.16,0.11,0.14
001372-03012017,0.18,0.13,0.11,0.14,0.09,0.08,0.14,0.05
001387-04012017,0.06,0.05,0.02,0.02,0.04,0.11,0.06,0.09
001458-04012017,0.03,0.03,0.05,0.02,0.06,0.08,0.03,0.11
001459-04012017,0.03,0.03,0.05,0.05,0.06,0.07,0.01,0.11
001467-04012017,0.21,0.24,0.19,0.20,0.22,0.30,0.25,0.27
001491-04012017,0.11,0.07,0.12,0.11,0.08,0.01,0.06,0.04
001497-04012017,0.12,0.07,0.12,0.12,0.09,0.01,0.07,0.04
001511-04012017,0.13,0.12,0.07,0.09,0.10,0.18,0.13,0.15
001523-04012017,0.14,0.15,0.10,0.11,0.13,0.21,0.16,0.18
001553-04012017,0.04,0.02,0.06,0.06,0.06,0.07,0.01,0.11
001564-04012017,0.01,0.07,0.09,0.05,0.10,0.11,0.05,0.15
001594-04012017,0.06,0.04,0.09,0.08,0.05,0.06,0.02,0.10
001622-04012017,0.05,0.02,0.03,0.02,0.05,0.08,0.03,0.10
001627-04012017,0.06,0.01,0.06,0.05,0.04,0.05,0.02,0.09
001631-04012017,0.14,0.10,0.06,0.10,0.09,0.16,0.11,0.14
001638-04012017,0.17,0.19,0.14,0.15,0.18,0.25,0.21,0.23
001668-04012017,0.06,0.03,0.07,0.07,0.04,0.04,0.02,0.09
001685-04012017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
001695-04012017,0.08,0.03,0.01,0.03,0.02,0.09,0.05,0.07
001701-04012017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
001702-04012017,0.21,0.15,0.13,0.17,0.12,0.11,0.17,0.07
001782-04012017,0.21,0.15,0.13,0.17,0.12,0.11,0.17,0.07
001807-04012017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
001820-04012017,0.06,0.00,0.05,0.04,0.04,0.06,0.02,0.09
001830-04012017,0.17,0.11,0.10,0.13,0.08,0.07,0.13,0.03
001837-05012017,0.05,0.01,0.04,0.03,0.04,0.07,0.02,0.09
001839-05012017,0.11,0.05,0.06,0.07,0.02,0.05,0.07,0.04
001841-05012017,0.05,0.01,0.04,0.03,0.04,0.07,0.02,0.09
001870-05012017,0.10,0.04,0.02,0.06,0.02,0.09,0.06,0.07
001872-05012017,0.18,0.12,0.10,0.14,0.08,0.08,0.14,0.03
001883-05012017,0.06,0.03,0.08,0.07,0.04,0.04,0.02,0.09
001885-05012017,0.05,0.02,0.07,0.07,0.05,0.05,0.01,0.10
001938-05012017,0.04,0.02,0.06,0.05,0.05,0.06,0.00,0.10
001941-05012017,0.03,0.03,0.05,0.04,0.06,0.07,0.01,0.11
001943-05012017,0.04,0.02,0.04,0.03,0.06,0.07,0.02,0.11
001949-05012017,0.20,0.14,0.12,0.15,0.10,0.09,0.15,0.05
001953-05012017,0.05,0.03,0.07,0.07,0.04,0.05,0.01,0.09
001956-05012017,0.06,0.03,0.08,0.07,0.04,0.04,0.02,0.08
001964-05012017,0.12,0.06,0.07,0.08,0.04,0.04,0.08,0.03
001976-05012017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
001997-05012017,0.02,0.07,0.09,0.05,0.10,0.11,0.05,0.15
002002-05012017,0.06,0.03,0.08,0.08,0.05,0.05,0.02,0.09
002005-05012017,0.14,0.16,0.11,0.12,0.15,0.22,0.18,0.20
002012-05012017,0.04,0.02,0.06,0.05,0.05,0.06,0.01,0.10
002014-05012017,0.05,0.03,0.08,0.07,0.05,0.06,0.01,0.10
002031-05012017,0.04,0.02,0.06,0.05,0.05,0.06,0.01,0.10
002032-05012017,0.04,0.02,0.05,0.04,0.05,0.06,0.02,0.10
002043-05012017,0.03,0.03,0.05,0.03,0.07,0.07,0.02,0.12
002046-05012017,0.02,0.04,0.06,0.03,0.08,0.09,0.04,0.13
002047-05012017,0.02,0.04,0.05,0.02,0.07,0.08,0.03,0.12
002098-05012017,0.16,0.10,0.08,0.12,0.06,0.08,0.12,0.06
002112-05012017,0.11,0.05,0.08,0.08,0.05,0.03,0.06,0.04
002116-05012017,0.16,0.10,0.08,0.12,0.06,0.08,0.12,0.06
002147-05012017,0.20,0.14,0.12,0.16,0.12,0.20,0.16,0.18
002168-05012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
002176-05012017,0.14,0.08,0.07,0.10,0.04,0.04,0.10,0.02
002177-05012017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
002188-05012017,0.16,0.18,0.13,0.14,0.16,0.24,0.19,0.22
002197-05012017,0.11,0.09,0.04,0.07,0.07,0.15,0.10,0.12
002199-05012017,0.20,0.23,0.18,0.19,0.21,0.29,0.24,0.26
002215-05012017,0.10,0.05,0.03,0.06,0.02,0.09,0.06,0.07
002222-05012017,0.12,0.06,0.05,0.07,0.02,0.05,0.07,0.03
002237-05012017,0.06,0.03,0.02,0.02,0.03,0.09,0.04,0.08
002245-05012017,0.03,0.05,0.05,0.01,0.07,0.11,0.06,0.12
002252-05012017,0.01,0.06,0.08,0.05,0.10,0.11,0.05,0.15
002260-05012017,0.02,0.04,0.06,0.03,0.08,0.09,0.04,0.13
002263-05012017,0.06,0.04,0.08,0.08,0.05,0.05,0.02,0.09
002335-05012017,0.02,0.04,0.06,0.03,0.08,0.10,0.05,0.13
002348-05012017,0.11,0.12,0.07,0.07,0.10,0.18,0.13,0.15
002352-06012017,0.01,0.06,0.08,0.04,0.10,0.11,0.05,0.15
002370-06012017,0.01,0.05,0.07,0.04,0.09,0.10,0.04,0.14
002385-06012017,0.08,0.03,0.08,0.07,0.05,0.03,0.03,0.07
002405-06012017,0.18,0.13,0.11,0.14,0.09,0.10,0.14,0.08
002412-06012017,0.29,0.23,0.21,0.25,0.19,0.19,0.25,0.14
002426-06012017,0.06,0.04,0.09,0.08,0.05,0.04,0.02,0.08
002436-06012017,0.01,0.07,0.09,0.05,0.10,0.11,0.05,0.15
002439-06012017,0.03,0.03,0.04,0.01,0.06,0.09,0.05,0.11
002445-06012017,0.05,0.02,0.07,0.06,0.05,0.06,0.00,0.10
002473-06012017,0.02,0.04,0.06,0.03,0.08,0.08,0.03,0.13
002475-06012017,0.07,0.04,0.01,0.03,0.03,0.10,0.06,0.08
002509-06012017,0.07,0.04,0.09,0.09,0.06,0.07,0.03,0.11
002520-06012017,0.04,0.02,0.06,0.05,0.06,0.07,0.01,0.11
002552-06012017,0.05,0.03,0.08,0.07,0.05,0.06,0.01,0.10
002561-06012017,0.19,0.21,0.16,0.17,0.20,0.27,0.23,0.25
002567-06012017,0.04,0.02,0.04,0.04,0.05,0.07,0.02,0.10
002574-06012017,0.13,0.08,0.07,0.09,0.04,0.04,0.09,0.01
002577-06012017,0.08,0.06,0.11,0.10,0.08,0.07,0.05,0.11
002584-06012017,0.05,0.03,0.07,0.07,0.04,0.05,0.01,0.09
002592-06012017,0.08,0.02,0.03,0.04,0.01,0.08,0.04,0.06
002599-06012017,0.23,0.18,0.16,0.19,0.14,0.13,0.19,0.10
002641-06012017,0.01,0.05,0.07,0.03,0.09,0.09,0.04,0.14
002653-06012017,0.19,0.14,0.12,0.15,0.10,0.09,0.15,0.05
002654-06012017,0.06,0.03,0.08,0.07,0.05,0.04,0.02,0.08
002655-06012017,0.04,0.03,0.04,0.01,0.06,0.09,0.04,0.11
002658-06012017,0.06,0.03,0.02,0.02,0.04,0.09,0.05,0.09
002677-06012017,0.08,0.04,0.09,0.08,0.05,0.02,0.04,0.06
002696-06012017,0.07,0.02,0.06,0.06,0.03,0.04,0.03,0.08
002715-06012017,0.06,0.04,0.09,0.08,0.05,0.05,0.02,0.09
002745-06012017,0.02,0.05,0.06,0.03,0.08,0.10,0.06,0.13
002755-06012017,0.01,0.05,0.07,0.03,0.08,0.09,0.03,0.13
002756-06012017,0.02,0.04,0.06,0.03,0.08,0.10,0.05,0.13
002777-06012017,0.12,0.06,0.04,0.07,0.02,0.10,0.07,0.07
002779-07012017,0.19,0.13,0.11,0.15,0.10,0.09,0.15,0.07
002798-07012017,0.02,0.04,0.06,0.03,0.08,0.09,0.04,0.13
002801-07012017,0.02,0.04,0.06,0.03,0.08,0.10,0.05,0.13
002806-07012017,0.12,0.14,0.09,0.10,0.13,0.20,0.16,0.18
002821-07012017,0.07,0.01,0.04,0.03,0.02,0.07,0.03,0.07
002829-07012017,0.10,0.05,0.10,0.10,0.07,0.01,0.05,0.05
002857-07012017,0.13,0.08,0.06,0.09,0.04,0.10,0.09,0.08
002863-07012017,0.06,0.02,0.07,0.07,0.04,0.04,0.02,0.08
002894-07012017,0.10,0.06,0.03,0.06,0.04,0.12,0.07,0.10
002901-07012017,0.13,0.08,0.07,0.09,0.04,0.04,0.09,0.01
002902-07012017,0.11,0.13,0.08,0.09,0.12,0.19,0.14,0.17
002908-07012017,0.13,0.08,0.06,0.09,0.04,0.10,0.09,0.08
002914-07012017,0.05,0.03,0.07,0.07,0.05,0.06,0.01,0.10
002917-07012017,0.04,0.05,0.04,0.00,0.06,0.11,0.06,0.11
002931-07012017,0.07,0.02,0.07,0.06,0.03,0.04,0.02,0.08
002937-07012017,0.08,0.05,0.10,0.09,0.06,0.02,0.04,0.06
002944-07012017,0.08,0.04,0.09,0.08,0.05,0.02,0.04,0.06
002961-07012017,0.08,0.06,0.11,0.10,0.07,0.04,0.04,0.08
002964-07012017,0.20,0.14,0.12,0.16,0.10,0.10,0.16,0.08
003017-07012017,0.13,0.08,0.06,0.09,0.04,0.10,0.09,0.08
003020-07012017,0.16,0.18,0.14,0.14,0.17,0.24,0.20,0.22
003022-07012017,0.10,0.10,0.05,0.06,0.09,0.16,0.12,0.14
003034-07012017,0.07,0.02,0.03,0.02,0.03,0.08,0.04,0.08
003073-07012017,0.23,0.18,0.16,0.19,0.14,0.13,0.19,0.09
003076-07012017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.10
003078-07012017,0.04,0.02,0.03,0.03,0.05,0.07,0.03,0.10
003082-07012017,0.25,0.19,0.17,0.21,0.15,0.14,0.21,0.10
003111-07012017,0.27,0.21,0.19,0.22,0.17,0.16,0.22,0.12
003114-07012017,0.08,0.02,0.04,0.04,0.01,0.07,0.04,0.06
003127-07012017,0.13,0.08,0.05,0.09,0.07,0.14,0.10,0.12
003135-07012017,0.07,0.02,0.07,0.06,0.03,0.04,0.02,0.08
003149-07012017,0.10,0.09,0.04,0.05,0.08,0.15,0.11,0.13
003152-07012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
003154-07012017,0.10,0.04,0.08,0.08,0.05,0.03,0.06,0.04
003195-07012017,0.17,0.19,0.14,0.15,0.18,0.25,0.21,0.23
003210-07012017,0.06,0.03,0.08,0.08,0.06,0.07,0.02,0.11
003214-08012017,0.30,0.24,0.22,0.26,0.20,0.20,0.26,0.15
003220-08012017,0.03,0.03,0.05,0.05,0.06,0.07,0.01,0.11
003230-08012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
003234-08012017,0.02,0.04,0.05,0.02,0.07,0.08,0.03,0.12
003257-08012017,0.07,0.02,0.07,0.06,0.03,0.04,0.02,0.08
003269-08012017,0.00,0.06,0.08,0.04,0.09,0.10,0.04,0.14
003287-08012017,0.07,0.05,0.10,0.09,0.06,0.05,0.03,0.09
003311-08012017,0.18,0.20,0.15,0.16,0.19,0.26,0.22,0.24
003313-08012017,0.02,0.06,0.08,0.04,0.10,0.11,0.05,0.15
003322-08012017,0.19,0.13,0.11,0.15,0.09,0.10,0.15,0.08
003335-08012017,0.05,0.01,0.06,0.05,0.04,0.05,0.01,0.09
003340-08012017,0.06,0.00,0.05,0.04,0.04,0.06,0.02,0.09
003342-08012017,0.20,0.14,0.12,0.16,0.11,0.11,0.16,0.09
003343-08012017,0.10,0.04,0.05,0.06,0.01,0.06,0.06,0.05
003350-08012017,0.04,0.02,0.06,0.06,0.06,0.07,0.01,0.11
003359-08012017,0.05,0.01,0.06,0.05,0.05,0.06,0.00,0.10
003390-08012017,0.14,0.08,0.07,0.10,0.04,0.04,0.10,0.02
003391-08012017,0.01,0.07,0.09,0.05,0.10,0.11,0.05,0.15
003396-08012017,0.08,0.03,0.02,0.04,0.02,0.09,0.04,0.07
003415-08012017,0.04,0.03,0.04,0.01,0.06,0.09,0.04,0.11
003455-08012017,0.15,0.17,0.12,0.13,0.15,0.23,0.18,0.21
003458-08012017,0.02,0.04,0.06,0.03,0.08,0.10,0.06,0.13
003460-08012017,0.16,0.11,0.09,0.12,0.07,0.07,0.12,0.05
003467-08012017,0.18,0.13,0.11,0.14,0.09,0.08,0.14,0.05
003493-08012017,0.11,0.06,0.04,0.07,0.04,0.11,0.07,0.09
003495-08012017,0.22,0.24,0.19,0.20,0.22,0.30,0.25,0.28
003500-08012017,0.09,0.11,0.06,0.07,0.09,0.17,0.12,0.15
003502-08012017,0.18,0.13,0.11,0.14,0.09,0.08,0.14,0.05
003504-08012017,0.07,0.02,0.05,0.04,0.02,0.06,0.03,0.07
003510-08012017,0.18,0.20,0.15,0.16,0.19,0.26,0.22,0.24
003528-08012017,0.04,0.02,0.06,0.06,0.06,0.07,0.00,0.11
003550-08012017,0.06,0.04,0.01,0.02,0.03,0.10,0.05,0.08
003551-08012017,0.12,0.06,0.04,0.08,0.02,0.09,0.08,0.07
003571-08012017,0.02,0.06,0.08,0.05,0.10,0.11,0.06,0.15
003585-08012017,0.11,0.13,0.08,0.09,0.12,0.19,0.15,0.17
003598-08012017,0.04,0.02,0.05,0.04,0.05,0.06,0.02,0.10
003611-08012017,0.15,0.17,0.12,0.13,0.16,0.23,0.18,0.21
003637-09012017,0.04,0.02,0.05,0.04,0.06,0.07,0.02,0.11
003653-09012017,0.12,0.07,0.05,0.08,0.05,0.13,0.08,0.11
003661-09012017,0.18,0.20,0.15,0.16,0.19,0.26,0.22,0.24
003667-09012017,0.03,0.03,0.05,0.02,0.07,0.08,0.03,0.12
003670-09012017,0.00,0.06,0.08,0.04,0.09,0.10,0.04,0.14
003673-09012017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
003685-09012017,0.02,0.05,0.07,0.03,0.08,0.10,0.05,0.13
003711-09012017,0.07,0.05,0.10,0.09,0.07,0.06,0.04,0.10
003725-09012017,0.22,0.16,0.14,0.18,0.12,0.12,0.18,0.07
003743-09012017,0.06,0.03,0.08,0.07,0.04,0.04,0.02,0.08
003768-09012017,0.11,0.10,0.06,0.07,0.09,0.16,0.12,0.14
003769-09012017,0.06,0.04,0.02,0.02,0.03,0.10,0.06,0.08
003774-09012017,0.01,0.06,0.08,0.05,0.10,0.11,0.05,0.15
003776-09012017,0.12,0.14,0.09,0.10,0.13,0.20,0.15,0.18
003777-09012017,0.06,0.02,0.06,0.06,0.04,0.04,0.02,0.09
003779-09012017,0.08,0.03,0.02,0.04,0.01,0.09,0.04,0.07
003797-09012017,0.16,0.11,0.08,0.12,0.10,0.17,0.12,0.15
003809-09012017,0.10,0.05,0.10,0.09,0.06,0.01,0.06,0.04
003821-09012017,0.04,0.04,0.04,0.00,0.05,0.10,0.05,0.10
003827-09012017,0.05,0.02,0.07,0.06,0.04,0.05,0.01,0.09
003847-09012017,0.02,0.07,0.09,0.05,0.10,0.11,0.05,0.15
003878-09012017,0.05,0.01,0.05,0.04,0.05,0.06,0.02,0.10
003920-09012017,0.18,0.16,0.11,0.13,0.15,0.22,0.18,0.20
003926-09012017,0.09,0.06,0.02,0.05,0.05,0.12,0.07,0.10
003956-09012017,0.14,0.09,0.09,0.10,0.05,0.04,0.10,0.00
003985-09012017,0.34,0.28,0.26,0.30,0.24,0.24,0.30,0.19
003991-09012017,0.18,0.16,0.11,0.13,0.15,0.22,0.18,0.20
003995-09012017,0.07,0.02,0.05,0.04,0.02,0.06,0.03,0.07
004006-09012017,0.08,0.02,0.06,0.05,0.02,0.05,0.04,0.06
004051-10012017,0.17,0.11,0.09,0.13,0.10,0.17,0.13,0.15
004104-10012017,0.10,0.06,0.03,0.06,0.04,0.12,0.07,0.10
004106-10012017,0.04,0.02,0.06,0.05,0.06,0.07,0.01,0.11
004113-10012017,0.06,0.04,0.09,0.08,0.06,0.04,0.03,0.08
004122-10012017,0.21,0.24,0.19,0.19,0.22,0.30,0.25,0.27
004130-10012017,0.01,0.07,0.09,0.05,0.11,0.12,0.05,0.16
004134-10012017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
004141-10012017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
004146-10012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
004148-10012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
004151-10012017,0.04,0.02,0.07,0.06,0.06,0.07,0.01,0.11
004180-10012017,0.03,0.02,0.06,0.05,0.06,0.07,0.01,0.11
004189-10012017,0.08,0.02,0.03,0.04,0.01,0.07,0.04,0.06
004190-10012017,0.08,0.02,0.05,0.04,0.02,0.06,0.04,0.07
004211-10012017,0.07,0.03,0.08,0.07,0.04,0.04,0.02,0.08
004217-10012017,0.08,0.02,0.03,0.04,0.01,0.07,0.04,0.06
004225-10012017,0.21,0.15,0.13,0.16,0.11,0.14,0.16,0.12
004248-10012017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
004251-10012017,0.21,0.23,0.18,0.19,0.22,0.29,0.25,0.27
004274-10012017,0.13,0.15,0.10,0.11,0.13,0.21,0.16,0.19
004300-10012017,0.12,0.06,0.09,0.08,0.06,0.02,0.08,0.02
004343-10012017,0.02,0.04,0.06,0.02,0.08,0.08,0.03,0.13
004352-10012017,0.00,0.06,0.08,0.04,0.10,0.10,0.04,0.15
004360-10012017,0.02,0.04,0.06,0.02,0.08,0.08,0.03,0.13
004383-10012017,0.05,0.02,0.06,0.06,0.04,0.05,0.01,0.09
004409-10012017,0.06,0.03,0.08,0.07,0.04,0.04,0.02,0.08
004446-11012017,0.07,0.06,0.01,0.03,0.05,0.12,0.08,0.10
004464-11012017,0.04,0.02,0.06,0.05,0.06,0.07,0.00,0.11
004465-11012017,0.02,0.07,0.09,0.05,0.10,0.11,0.05,0.15
004471-11012017,0.07,0.01,0.06,0.06,0.03,0.05,0.03,0.08
004472-11012017,0.25,0.19,0.17,0.21,0.15,0.14,0.21,0.10
004478-11012017,0.02,0.03,0.05,0.04,0.07,0.08,0.02,0.12
004479-11012017,0.01,0.07,0.09,0.05,0.10,0.11,0.05,0.15
004489-11012017,0.01,0.05,0.07,0.03,0.09,0.09,0.04,0.14
004495-11012017,0.07,0.04,0.09,0.08,0.05,0.04,0.02,0.08
004498-11012017,0.04,0.02,0.07,0.06,0.06,0.06,0.01,0.11
004524-11012017,0.12,0.14,0.10,0.10,0.13,0.20,0.16,0.18
004526-11012017,0.01,0.07,0.09,0.05,0.10,0.11,0.05,0.15
004527-11012017,0.07,0.02,0.07,0.06,0.04,0.04,0.03,0.08
004530-11012017,0.07,0.08,0.04,0.04,0.07,0.14,0.10,0.12
004537-11012017,0.09,0.04,0.06,0.05,0.03,0.05,0.05,0.05
004559-11012017,0.09,0.11,0.06,0.07,0.09,0.17,0.12,0.15
004579-11012017,0.07,0.05,0.10,0.09,0.07,0.06,0.04,0.10
004588-11012017,0.04,0.02,0.04,0.03,0.06,0.07,0.02,0.11
004592-11012017,0.05,0.06,0.03,0.02,0.05,0.12,0.08,0.10
004595-11012017,0.02,0.07,0.09,0.05,0.10,0.11,0.06,0.15
004597-11012017,0.10,0.06,0.03,0.06,0.05,0.12,0.08,0.10
004609-11012017,0.09,0.03,0.04,0.05,0.00,0.07,0.05,0.05
004628-11012017,0.10,0.05,0.03,0.06,0.01,0.08,0.06,0.06
004630-11012017,0.07,0.01,0.04,0.03,0.02,0.07,0.03,0.07
004641-11012017,0.14,0.08,0.09,0.10,0.05,0.04,0.10,0.00
004656-11012017,0.05,0.03,0.08,0.07,0.06,0.07,0.02,0.11
004662-11012017,0.14,0.08,0.06,0.10,0.05,0.10,0.10,0.08
004677-11012017,0.09,0.03,0.07,0.06,0.03,0.04,0.05,0.05
004696-11012017,0.14,0.16,0.11,0.12,0.15,0.22,0.18,0.20
004707-11012017,0.12,0.14,0.10,0.10,0.13,0.20,0.16,0.18
004708-11012017,0.09,0.04,0.04,0.05,0.00,0.07,0.05,0.05
004733-11012017,0.12,0.06,0.04,0.08,0.04,0.12,0.08,0.10
004734-11012017,0.03,0.02,0.05,0.04,0.06,0.07,0.01,0.11
004735-11012017,0.01,0.06,0.08,0.04,0.09,0.10,0.04,0.14
004747-11012017,0.14,0.09,0.07,0.10,0.05,0.04,0.10,0.01
004771-11012017,0.05,0.03,0.08,0.07,0.05,0.05,0.02,0.09
004772-11012017,0.07,0.01,0.05,0.04,0.02,0.06,0.03,0.07
004778-11012017,0.09,0.12,0.07,0.07,0.10,0.18,0.13,0.15
